source_id,job_title_raw,soc_code_raw,occurrence_count,before_version,after_version,before_technical_role,after_technical_role,before_family,after_family,before_method,after_method,before_rule,after_rule,before_review_status,after_review_status,transition,inspection_status,reviewer,reviewer_note
dol_perm,Recruitment Officer,41-4012,11,role_taxonomy_v1,role_taxonomy_v2,False,False,not_relevant,not_relevant,DEFAULT_NOT_RELEVANT,STRONG_EXCLUSION_PATTERN,no_technical_evidence,sales_recruiting,NOT_REQUIRED,NOT_REQUIRED,NOT_RELEVANT:not_relevant -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Recruiting Research Associate ,13-1071.00,6,role_taxonomy_v1,role_taxonomy_v2,False,False,not_relevant,not_relevant,DEFAULT_NOT_RELEVANT,STRONG_EXCLUSION_PATTERN,no_technical_evidence,sales_recruiting,NOT_REQUIRED,NOT_REQUIRED,NOT_RELEVANT:not_relevant -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Recruitment Officer,11-3131.00,6,role_taxonomy_v1,role_taxonomy_v2,False,False,not_relevant,not_relevant,DEFAULT_NOT_RELEVANT,STRONG_EXCLUSION_PATTERN,no_technical_evidence,sales_recruiting,NOT_REQUIRED,NOT_REQUIRED,NOT_RELEVANT:not_relevant -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Hybrid Cloud Infrastructure Architect,15-1143,1,role_taxonomy_v1,role_taxonomy_v2,False,True,not_relevant,cloud,DEFAULT_NOT_RELEVANT,STRONG_TITLE_PATTERN,no_technical_evidence,cloud,NOT_REQUIRED,NOT_REQUIRED,NOT_RELEVANT:not_relevant -> TECHNICAL:cloud,PENDING_MANUAL_INSPECTION,,
dol_perm,Senior Cloud Infrastructure Architect,,1,role_taxonomy_v1,role_taxonomy_v2,False,True,not_relevant,cloud,DEFAULT_NOT_RELEVANT,STRONG_TITLE_PATTERN,no_technical_evidence,cloud,NOT_REQUIRED,NOT_REQUIRED,NOT_RELEVANT:not_relevant -> TECHNICAL:cloud,PENDING_MANUAL_INSPECTION,,
dol_lca,Assistant Professor of Biomedical Informatics,25-1021.00,3,role_taxonomy_v1,role_taxonomy_v2,True,False,computer_science_research,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:3,biological_chemical,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:computer_science_research -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Assistant Professor,15-1221.00,2,role_taxonomy_v1,role_taxonomy_v2,True,False,computer_science_research,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:3,noncomputing_faculty,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:computer_science_research -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Assistant Professor of Biomedical Data Science,25-1021.00,2,role_taxonomy_v1,role_taxonomy_v2,True,False,computer_science_research,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:3,biological_chemical,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:computer_science_research -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Postdoc Res Assc-Biomedical Natural Language Processing,15-1221.00,1,role_taxonomy_v1,role_taxonomy_v2,True,True,computer_science_research,machine_learning_ai,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:3,machine_learning_ai,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:computer_science_research -> TECHNICAL:machine_learning_ai,PENDING_MANUAL_INSPECTION,,
dol_lca,Sr. Research Engineer - Biological Imaging & Computer Vision,15-1221.00,1,role_taxonomy_v1,role_taxonomy_v2,True,True,computer_science_research,machine_learning_ai,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:3,machine_learning_ai,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:computer_science_research -> TECHNICAL:machine_learning_ai,PENDING_MANUAL_INSPECTION,,
dol_lca,Manager,15-1243.00,59,role_taxonomy_v1,role_taxonomy_v2,True,False,data_engineering,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:1,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_engineering -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Consultant,15-1243.00,13,role_taxonomy_v1,role_taxonomy_v2,True,False,data_engineering,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:1,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_engineering -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_perm,Associate,15-1243.01,12,role_taxonomy_v1,role_taxonomy_v2,True,False,data_engineering,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:1,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_engineering -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Biomedical Informatics Software Engineer II,15-1243.00,1,role_taxonomy_v1,role_taxonomy_v2,True,True,data_engineering,software_engineering,SOC_MAPPING,STRONG_TITLE_PATTERN,soc_mapping:1,software_engineering,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_engineering -> TECHNICAL:software_engineering,PENDING_MANUAL_INSPECTION,,
dol_lca,Business Analyst,15-2051.01,473,role_taxonomy_v1,role_taxonomy_v2,True,False,data_science,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:4,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_science -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
dol_lca,Product Manager,15-2051.01,116,role_taxonomy_v1,role_taxonomy_v2,True,False,data_science,not_relevant,SOC_MAPPING,STRONG_EXCLUSION_PATTERN,soc_mapping:4,nontechnical_management_analysis,NOT_REQUIRED,NOT_REQUIRED,TECHNICAL:data_science -> NOT_RELEVANT:not_relevant,PENDING_MANUAL_INSPECTION,,
